package_name,ecosystem,max_entropy,avg_entropy,eval_count,exec_count,base64_count,network_imports,label
canvas-to-buffer-4.1.2,NPM,5.24700355176184,4.7136591135215316,0,0,0,0,0
captcha-plugin-rn-1.1.13,NPM,7.862195125807601,4.9659248997880905,0,0,0,0,0
carousel_vue_3-1.0.2,NPM,5.154590758279775,4.81280541214962,0,0,0,0,0
casbin-dynamodb-adapter-v3-0.1.1,NPM,5.0963659924862394,4.7554865490415565,0,0,0,0,0
caspar-cg-0.1.0,NPM,5.333322195529327,4.806007205729052,0,0,0,0,0
celebration-trigger-1.0.6,NPM,5.098193152412418,4.715564556083448,0,0,0,0,0
cesium-mvt-imagery-provider-1.4.1,NPM,5.385304708092742,4.947745810191665,0,0,0,0,0
chartjs-color-2.4.1,NPM,5.170110964644033,5.0265752332185185,0,0,0,0,0
checklist-cli-1.0.0-rc.7,NPM,5.288586411923138,4.368172680766123,0,2,0,0,0
choose-by-probability-1.0.3,NPM,5.936924916348015,4.607402487452758,0,0,0,0,0
circle-progress-bar-1.0.0,NPM,5.181444115226096,4.806776032895578,0,0,0,0,0
cli-0.7.0,NPM,7.729412916957966,4.947229122685908,0,0,0,0,0
client-ts-0.0.2-beta,NPM,5.167307594924249,4.3960993195286955,0,0,0,0,0
clist-0.0.2,NPM,5.87948497097571,4.9989675400927345,0,0,0,0,0
cnp-mapbox-gl-draw-circle-2.0.0,NPM,5.1452614851287946,4.769149836373204,0,0,0,0,0
coinspot-api-v2-0.1.21,NPM,5.100187823352101,4.927046915359722,0,0,0,0,0
colco-1.0.16,NPM,5.632294287415822,4.612662239249247,0,0,0,0,0
colib-1.0.3,NPM,5.410559088501908,5.022798088704591,0,0,0,0,0
color-0.1.8,NPM,5.1012271061471965,4.601044710486271,0,0,0,0,0
color-1.2.1,NPM,5.267563225056856,4.986363612275793,0,0,0,0,0
color-convertor-0.0.2,NPM,5.292066937488325,5.0542603609096854,0,0,0,0,0
color-lighten-tool-1.0.2,NPM,6.0246866581997,4.964457690427017,0,0,0,0,0
color-parse-2.0.2,NPM,5.311672427548771,4.8201497394186585,0,0,0,0,0
color-re-1.1.1,NPM,6.905371231941366,5.044378587902633,0,0,0,0,0
color-string-2.0.0,NPM,5.1229351781538215,4.86494717163818,0,0,0,0,0
color-translate-1.2.6,NPM,5.165336734430426,4.6906375935169,0,0,0,0,0
color-utils-4.0.0,NPM,5.233977903196463,4.7990831636488895,0,0,0,0,0
color2rgba-1.0.0,NPM,5.962944603593729,5.512396731399849,0,0,0,0,0
commit-1.0.8,NPM,5.625641436290355,5.241978112560281,0,0,0,0,0
component-block-list-0.2.10,NPM,5.692781406361323,5.167640122052165,0,0,0,0,0
component-library-0.1.4,NPM,5.337896644705323,5.028088310773714,0,0,0,0,0
